batch_id,decision_id,entity_type,entity_key,proposed_action,proposed_human_decision,approval_status,reviewer,decision_date,rationale,follow_on_action
ryderwear-batch2-2026-05-27-01,dec-001,destination_collision_split_path,138,propose_split_destination,review_then_approve_or_revise,pending_human_approval,,,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
ryderwear-batch2-2026-05-27-01,dec-002,destination_collision_split_path,153,propose_split_destination,review_then_approve_or_revise,pending_human_approval,,,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
ryderwear-batch2-2026-05-27-01,dec-003,destination_collision_split_path,154,propose_split_destination,review_then_approve_or_revise,pending_human_approval,,,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
ryderwear-batch2-2026-05-27-01,dec-004,destination_collision_split_path,157,propose_split_destination,approve_split,pending_human_approval,,,,"If approved by human reviewer, include in approved split set for non-destructive simulation worksheet."
ryderwear-batch2-2026-05-27-01,dec-005,destination_collision_split_path,163,propose_split_destination,approve_split,pending_human_approval,,,,"If approved by human reviewer, include in approved split set for non-destructive simulation worksheet."
ryderwear-batch2-2026-05-27-01,dec-006,destination_collision_split_path,158,propose_split_destination,review_then_approve_or_revise,pending_human_approval,,,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
ryderwear-batch2-2026-05-27-01,dec-007,destination_collision_split_path,160,keep_existing_destination_owner,approve_existing_owner_if_source_matches,pending_human_approval,,,,Verify source imagery belongs to existing destination owner before retaining ownership.
ryderwear-batch2-2026-05-27-01,dec-008,destination_collision_split_path,162,propose_split_destination,review_then_approve_or_revise,pending_human_approval,,,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
ryderwear-batch2-2026-05-27-01,dec-009,destination_collision_split_path,174,propose_split_destination,review_then_approve_or_revise,pending_human_approval,,,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
ryderwear-batch2-2026-05-27-01,dec-010,destination_collision_split_path,166,propose_split_destination,review_then_approve_or_revise,pending_human_approval,,,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
ryderwear-batch2-2026-05-27-01,dec-011,destination_collision_split_path,176,propose_split_destination,approve_split,pending_human_approval,,,,"If approved by human reviewer, include in approved split set for non-destructive simulation worksheet."
ryderwear-batch2-2026-05-27-01,dec-012,destination_collision_split_path,184,needs_manual_review,defer_pending_source_verification,deferred_source_verification,,,,Defer until source-folder provenance and competing model ownership are manually verified.
