batch_id,collision_group_id,destination_path,candidate_itemId,candidate_external_item_id,candidate_model_id,conflict_type,severity,status,notes
ryderwear-batch2-2026-05-27-01,group-1-activate-vs-momentum,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/twist/--collection/activate/black,138,ryderwear_female_activate_sports_bra_twist,ryderwear_female_activate_sports_bra_twist,duplicate_destination_path,high,pending_human_approval,proposed_destination=images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/twist/--collection/activate/twist/black|recommended_action=propose_split_destination
ryderwear-batch2-2026-05-27-01,group-2-lift-pair,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,153,ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,duplicate_destination_path,high,pending_human_approval,proposed_destination=images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift-2-0/black|recommended_action=propose_split_destination
ryderwear-batch2-2026-05-27-01,group-2-lift-pair,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,154,ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,duplicate_destination_path,high,pending_human_approval,proposed_destination=images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/rib-seamless-halter/black|recommended_action=propose_split_destination
ryderwear-batch2-2026-05-27-01,group-3-nkd-staples-cut-split,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,157,ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,duplicate_destination_path,high,pending_human_approval,proposed_destination=images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/bandeau/black|recommended_action=propose_split_destination
ryderwear-batch2-2026-05-27-01,group-3-nkd-staples-cut-split,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,163,ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,duplicate_destination_path,high,pending_human_approval,proposed_destination=images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/one-shoulder/black|recommended_action=propose_split_destination
ryderwear-batch2-2026-05-27-01,group-4-core-vs-embody,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,158,ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,duplicate_destination_path,high,pending_human_approval,proposed_destination=images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/core/blue|recommended_action=propose_split_destination
ryderwear-batch2-2026-05-27-01,group-4-core-vs-embody,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,160,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,duplicate_destination_path,medium,pending_human_approval,proposed_destination=images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue|recommended_action=keep_existing_destination_owner
ryderwear-batch2-2026-05-27-01,group-5-knot-vs-twist-cross-over,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,162,ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,duplicate_destination_path,high,pending_human_approval,proposed_destination=images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/knot/white|recommended_action=propose_split_destination
ryderwear-batch2-2026-05-27-01,group-5-knot-vs-twist-cross-over,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,174,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,duplicate_destination_path,high,pending_human_approval,proposed_destination=images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/twist/white|recommended_action=propose_split_destination
ryderwear-batch2-2026-05-27-01,group-6-scrunch-v-halter-vs-underwire-keyhole,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso,166,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,duplicate_destination_path,high,pending_human_approval,proposed_destination=images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch-v-halter/bra/espresso|recommended_action=propose_split_destination
ryderwear-batch2-2026-05-27-01,group-6-scrunch-v-halter-vs-underwire-keyhole,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso,176,ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,duplicate_destination_path,high,pending_human_approval,proposed_destination=images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/underwire-keyhole/bra/espresso|recommended_action=propose_split_destination
ryderwear-batch2-2026-05-27-01,group-7-sculpt-multi-competitor,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt/halter-bra/azure,184,ryderwear_female_sculpt_sports_bra_rib_waistband_low_support,ryderwear_female_sculpt_sports_bra_rib_waistband_low_support,duplicate_destination_path,high,deferred_source_verification,proposed_destination=images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt-seamless-halter/azure|recommended_action=needs_manual_review
