itemId,itemName,external_item_id,collision_group,current_duplicate_destination_path,proposed_destination_path,recommended_action,confidence,proposed_human_decision,approval_status,reviewer_notes,follow_on_action
138,Activate Sports Bra,ryderwear_female_activate_sports_bra_twist,group-1-activate-vs-momentum,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/twist/--collection/activate/black,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/twist/--collection/activate/twist/black,propose_split_destination,medium,review_then_approve_or_revise,pending_human_approval,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
153,Lift 2.0 Seamless Sports Bra,ryderwear_female_lift_2_0_sports_bra_rib_waistband_light_support,group-2-lift-pair,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift-2-0/black,propose_split_destination,medium,review_then_approve_or_revise,pending_human_approval,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
154,Lift Rib Seamless Halter Sports Bra,ryderwear_female_rib_seamless_sports_bra_scoop_neck_halter_light_support,group-2-lift-pair,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/lift/black,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/rib/--collection/rib-seamless-halter/black,propose_split_destination,medium,review_then_approve_or_revise,pending_human_approval,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
157,NKD Bandeau Sports Bra,ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,group-3-nkd-staples-cut-split,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/bandeau/black,propose_split_destination,high,approve_split,pending_human_approval,,"If approved by human reviewer, include in approved split set for non-destructive simulation worksheet."
163,NKD One Shoulder Sports Bra,ryderwear_female_nkd_sports_bra_elastic_underbust_band_one_shoulder_asymmetrical_back_low_support,group-3-nkd-staples-cut-split,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/staples/black,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/low-support/one-shoulder/black,propose_split_destination,high,approve_split,pending_human_approval,,"If approved by human reviewer, include in approved split set for non-destructive simulation worksheet."
158,NKD Core Bra,ryderwear_female_nkd_sports_bra_elastic_underbust_band_square_neck_straight_back_light_support,group-4-core-vs-embody,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/core/blue,propose_split_destination,medium,review_then_approve_or_revise,pending_human_approval,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
160,NKD Embody Sports Crop,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_light_support,group-4-core-vs-embody,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/light-support/embody/blue,keep_existing_destination_owner,medium,approve_existing_owner_if_source_matches,pending_human_approval,,Verify source imagery belongs to existing destination owner before retaining ownership.
162,NKD Knot Sports Bra,ryderwear_female_nkd_sports_bra_elastic_underbust_band_knot_cross_over_back_light_support,group-5-knot-vs-twist-cross-over,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/knot/white,propose_split_destination,medium,review_then_approve_or_revise,pending_human_approval,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
174,NKD Twist Sports Bra,ryderwear_female_nkd_sports_bra_v_neck_cross_over_back_low_support,group-5-knot-vs-twist-cross-over,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/cross-over/white,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/tank/twist/white,propose_split_destination,medium,review_then_approve_or_revise,pending_human_approval,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
166,NKD Scrunch V Halter Bra,ryderwear_female_nkd_sports_bra_longline_v_neck_halter_light_support_scrunch,group-6-scrunch-v-halter-vs-underwire-keyhole,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch-v-halter/bra/espresso,propose_split_destination,medium,review_then_approve_or_revise,pending_human_approval,,Human reviewer to confirm model_id/source alignment and either approve split or request path revision.
176,NKD Underwire Keyhole Sports Bra,ryderwear_female_nkd_sports_bra_underwire_keyhole_racerback_medium_support_scrunch,group-6-scrunch-v-halter-vs-underwire-keyhole,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/scrunch/bra/espresso,images/brands/ryderwear/women/nkd/tops/sports-bra/cut/halter/construction/underwire-keyhole/bra/espresso,propose_split_destination,high,approve_split,pending_human_approval,,"If approved by human reviewer, include in approved split set for non-destructive simulation worksheet."
184,Sculpt Seamless Halter Sports Bra,ryderwear_female_sculpt_sports_bra_rib_waistband_low_support,group-7-sculpt-multi-competitor,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt/halter-bra/azure,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/cut/low-support/--collection/sculpt-seamless-halter/azure,needs_manual_review,low,defer_pending_source_verification,deferred_source_verification,,Defer until source-folder provenance and competing model ownership are manually verified.
